"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"11925","OPTCUR","USDINR","OPTION","13-Oct-2023",82.625,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1107,1,1000,0.0025,"US Dollars","","","","",0.17,1.005,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.5875,"USDINR"
"15444","OPTCUR","USDINR","OPTION","13-Oct-2023",82.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",10889,1,1000,0.0025,"US Dollars","","","","",0.0625,0.8625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4625,"USDINR"
"11927","OPTCUR","USDINR","OPTION","13-Oct-2023",82.875,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",9792,1,1000,0.0025,"US Dollars","","","","",0.0025,0.7125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.3425,"USDINR"
"15446","OPTCUR","USDINR","OPTION","13-Oct-2023",83,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",30653,1,1000,0.0025,"US Dollars","","","","",0.0025,0.545,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2225,"USDINR"
"11932","OPTCUR","USDINR","OPTION","13-Oct-2023",83.125,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",41771,1,1000,0.0025,"US Dollars","","","","",0.0025,0.375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.115,"USDINR"
"15448","OPTCUR","USDINR","OPTION","13-Oct-2023",83.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",358408,1,1000,0.0025,"US Dollars","","","","",0.0025,0.24,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.05,"USDINR"
"11934","OPTCUR","USDINR","OPTION","13-Oct-2023",83.375,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",223504,1,1000,0.0025,"US Dollars","","","","",0.0025,0.14,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0175,"USDINR"
"15450","OPTCUR","USDINR","OPTION","13-Oct-2023",83.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",363007,1,1000,0.0025,"US Dollars","","","","",0.0025,0.08,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.01,"USDINR"
"8554","OPTCUR","USDINR","OPTION","13-Oct-2023",83.625,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",70932,1,1000,0.0025,"US Dollars","","","","",0.0025,0.04,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.005,"USDINR"
"15452","OPTCUR","USDINR","OPTION","13-Oct-2023",83.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",87060,1,1000,0.0025,"US Dollars","","","","",0.0025,0.02,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
